8(a) Stars,Contract for acquiring IT services from small businesses
A,
A&A,Assessment and Authorization Process
A/E,Architect/Engineer
AABC,Associated Air Balance Council
AAC,Agency Address Code
AAMS,Agency Asset Management System
ABA,Architectural Barriers Act
ABG,African Burial Ground
ACD,Automatic Call Distribution
ACES,Access Certificates for Electronic Services
ACH,Automated Clearing House
ACHP,Advisory Council on Historic Preservation
ACIS,Advantage! Customer Information System
ACM,Asbestos Containing Materials
ACMIS,Acquisition Career Management Information System
ACO,Administrative Contracting Officer
ACOR,Agency Contracting Officer's Representative
ACSS,Acquisition Center for Support Services
ACT,Accounting Control Transaction Number
ADA,Americans with Disabilities Act
ADAAG,Americans with Disabilities Act Accessibility Guidelines
ADD,Automated Deployment Database
ADID,Atlanta Downtown Improvement District
ADP,Automated Data Processing
ADPI,Air Diffusion Performance Index
ADR,Alternative Disputes Resolution
ADRA,Administrative Dispute Resolution Act of 1986
AEP,American Electrical Power
AFB,Air Force Base
AFIC,Armed Forces Inaugural Committee
AFV,Alternative Fuel Vehicle
AHERA,Asbestos Hazard Emergency Response Act
AHJ,Authority Having Jurisdiction
AHU,Air-Handling Unit
AI,Articulation Index
AIA,American Institute of Architects
AIHA,American Industrial Hygiene Association
AIMS,Advertising & Integrated Marketing Solutions - Schedule 541
AIS,Automated Information System
AKA,Also Known As
ALC,Agency Location Code
AM,Acquisition Management
AMC,Accident Management Center
AMSS,Advanced Mobile Satellite Service
ANI,Automatic Number Identification
ANSI,American National Standards Institute
ANSWER,Applications'n Support for Widely-diverse EndUser Requirements
AOC,Area of Consideration
AOs,Authorizing Officials
AOUSC,Administrative Office of the US Courts
APO,Area Property Officer
APPAS,Associate Performance Plan and Appraisal System
APRS,Associate Performance Recognition System
ARC,American Red Cross
ARF,Action Request Form
ARI,Air-conditioning and Refrigeration Institute
ARO,After Receipt of Order
ARPA,Archeological Resources Protection Act
ASC,Accredited Standards Committee
ASCII,American Standard Code for Information Exchange
ASD,Allowable Stress Design
ASF,Acquisition Services Fund
ASLA,American Society of Landscape Architects
ASP,Aggregate Systems Procurements
ATA,AIR TRAN AIRWAYS
ATIS,Alliance for Telecommunications Industry Solutions
ATM,Asynchronous Transfer Mode
ATMS,Asynchronous Transfer Mode Service
ATS,Automatic Transfer Switches
AU,Authorized Users
AUO,Area Utilization Officer
B,
BA,Borrowing Authority
BAA,Broad Agency Announcement
BAFO,Best and Final Offer
BAS,Building Automation System
BBFY,Beginning Budget Fiscal Year
BCC,Backup Control Center
BCE,GSA Financial and Payroll Services Division
BEA,Budget Enforcement Act of 1990
BER,Building Engineering Report
BFV,Bi-fuel Vehicles
BFY,Budget Fiscal Year
BIA,Brick Institute of America
BID,Business Improvement District
BIM,Building Information Modeling
BIS,Building Information System
BLCC,Building Life Cycle Cost
BOA,Basis of Award
BOA,Basic Ording Agreement
BOAC,"Buildings Officials and Code Administrators Internationals, Inc."
BOL,Bill of Lading
BOMA,Buildings Owners and Managers Association
BPA,Blanket Purchase Agreement
BPN,Business Partner Network
BPN,Business Partner Network
BPP,Buildings Preservation Plan
BPR,Business Process Re-engineering
BSC,Building Security Committee
BSO,Basic Safety Objective
BSPC,Border Station Partnership Council
BTS,Directorate of Border and Transportation Security
BVD,Best Value Determination
BYOD,Bring Your Own Device
C,
C/B,Chemical/Biological
CA,Contract Administrator
CAA,Civilian Agency Acquisition (Council)
CAC,Ceiling Attenuation Class
CAD,Computer Aided Design
CAF,Customer Address File
CAFM,Computer Aided Facilities Management
CAG,Customer Assistance Guide
CAR,Customer Accounts and Research
CAS,Cost Accounting Standards
CAsI,Contractor Assessment Initiative
CATEX,Categorical Exclusion
CAV,Contractor Assistance Visit
CAV,Contractor Assistance Visit
CBA,Centrally Billed Account
CBA,Collective Bargaining Agreement
CBCA,Civilian Board of Contract Appeals
CBD,Commerce Business Daily
CBL,Commercial Bill of Lading
CCB,Configuration Control Board
CCDC,Centre City Development Corporation
CCFF,Cost Plus Fixed-Fee
CCMG,Central Courthouse Management Group
CCR,Central Contractor Registration
CCR,Central Contractor Registration
CCTV,Closed Circuit TV
CDD,Curriculum Design Document
CDR,Critical Design Reviews
CDRG,Catastrophic Disaster Response Group
CDRL,Contract Data Requirements List
CDS,Cellular Dispatch Service
CDW,Collision Damage Waiver
CEMP,Code of Environmental Management Principles
CEQ,Council on Environmental Quality (White House)
CERCLA,"Comprehensive, Environmental, Response, Compensation, and Liability Act"
CEUs,Continuing Education Units
CFC,Chlorofluorocarbon
CFDA,Catalog of Federal Domestic Assistance
CFM&H,Center for Facilities Maintenance and Hardware's
CFMS,Comprehensive Furniture Management Services
CFO,Chief Financial Officer
CFO Act,Chief Financial Officers Act of 1990
CFR,Code of Federal Regulations
CGFM,Certified Government Financial Managers
CHAMP,"Centralized Household Goods Traffic Management Program, GSA"
CHCO,Chief Human Capital Officer
